번호,개방서비스명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174)
1575,동물약국,,경기도 파주시 동패동 1901-2번지 아름터프라자 105호,"경기도 파주시 한울로 67, 105호 (동패동, 아름터프라자)",10902,아름약국,176928.538944412,467636.895728183
1576,동물약국,031-336-3292,경기도 용인시 처인구 김량장동 12-2번지,,,용인태평양약국,218569.344023929,414374.410785203
1577,동물약국,031-339-0775,경기도 용인시 처인구 김량장동 328-1번지,경기도 용인시 처인구 금령로 16 (김량장동),17049,세계로약국,217500.501081206,414765.034935863
1578,동물약국,031-947-7575,경기도 파주시 목동동 941-1번지,"경기도 파주시 교하로 87, 1층 (목동동)",10892,운정일번약국,176475.078366768,469496.975550397
1579,동물약국,031-944-4495,경기도 파주시 목동동 939-3번지 102호,"경기도 파주시 청암로17번길 55, 센트럴프라자 102호 (목동동)",10892,맑은샘약국,176550.426016718,469533.032593469
1580,동물약국,,경기도 파주시 문산읍 당동리 888-6번지,경기도 파주시 문산읍 방촌로 1729,10816,오늘약국,180998.152358793,484961.894198421
1581,동물약국,031-942-0100,경기도 파주시 와동동 1488-2번지,"경기도 파주시 가람로116번길 57, 중앙타워  102호 (와동동)",10896,열매약국,179180.497874478,470303.791519696
1582,동물약국,031-947-7573,경기도 파주시 동패동 1694-2번지 교하일번가빌딩 108호,"경기도 파주시 청석로 256, 교하일번가빌딩 1층 108호 (동패동)",10874,수약국,175046.490006222,469174.491517861
1583,동물약국,031-375-8522,경기도 오산시 원동 561-1번지 정문약국,"경기도 오산시 밀머리로1번길 18, 정문약국 101호 (원동)",18144,파랑새약국,206627.518763324,404420.237902628
1584,동물약국,031-373-3443,경기도 오산시 원동 762-26번지 시범약국,"경기도 오산시 오산로 214, 시범약국 (원동)",18141,시범약국,206031.150721772,404908.780460804
1585,동물약국,031-378-1638,경기도 오산시 원동 360-6번지 오산이마트,"경기도 오산시 경기대로 181, 오산이마트 1층 (원동)",18143,마더스약국,206383.775609107,404319.688193021
1586,동물약국,,경기도 오산시 궐동 611-3번지 에스에스프라자 107호,"경기도 오산시 대호로 141, 에스에스프라자 107호 (궐동)",18123,우리은혜약국,204713.491224058,406788.20283049
1587,동물약국,031-375-8747,경기도 오산시 원동 762-1 광장약국,"경기도 오산시 대원로 2, 광장약국 (원동)",18141,광장약국,206031.08524824,404946.589502676
1588,동물약국,,,"경기도 오산시 경기대로 155 (원동, 신한프라자A)",18143,늘푸른온누리약국,206428.228253097,404101.751973838
1589,동물약국,031-373-2906,경기도 오산시 오산동 876-10번지,"경기도 오산시 성호대로 78 (오산동, 성심약국)",18138,성심온누리약국,206143.278489945,405198.403118914
1590,동물약국,,경기도 오산시 수청동 619-3번지,경기도 오산시 내삼미로79번길 52 (수청동),18114,세교자연약국,205741.932821702,407527.074484428
1591,동물약국,,경기도 오산시 금암동 512-4번지,"경기도 오산시 수청로 188 (금암동, 롯데슈퍼)",18109,라온약국,203988.221680623,408389.663202656
1592,동물약국,,경기도 파주시 금촌동 988-6번지,"경기도 파주시 금빛로 24-27 (금촌동, 제일메디컬)",10915,프라자약국,179509.28,472188.68
1593,동물약국,031-946-8833,경기도 파주시 목동동 933번지 현대메디컬프라자 104호,"경기도 파주시 청암로17번길 33, 104호 (목동동, 현대메디컬프라자)",10892,수온누리약국,176692.468336196,469612.964248483
1594,동물약국,031-652-8102,경기도 평택시 합정동 757-4번지,경기도 평택시 중앙로 148 (합정동),17907,다나약국,208772.45818946,387859.149902187
1595,동물약국,031-666-2060,경기도 평택시 신장동 274-157번지,경기도 평택시 중앙시장로20번길 20 (신장동),17758,온누리수정약국,204641.588561753,397507.481021869
1596,동물약국,031-943-2922,경기도 파주시 조리읍 봉일천리 168-13번지,경기도 파주시 조리읍 봉천로 43 (파주약국),10937,파주약국,182914.859664688,471247.161152957
1597,동물약국,031-948-8275,경기도 파주시 금촌동 948-1,"경기도 파주시 시청로 2 (금촌동, 준성빌딩)",10924,금촌코끼리약국,180039.082729341,472835.235443618
1598,동물약국,031-945-8280,경기도 파주시 와동동 1301-4번지 해솔프라자 106호,"경기도 파주시 미래로 620, 106호 (와동동, 해솔프라자)",10895,해솔유명약국,177988.247139332,470021.926836432
1599,동물약국,070-7799-2191,경기도 파주시 목동동 939-2 월드타워2,"경기도 파주시 청암로17번길 53, 월드타워2 1층 106호 (목동동)",10892,운정사랑약국,176589.499380635,469555.018035589
1600,동물약국,031-942-0775,경기도 파주시 금촌동 44-8번지,"경기도 파주시 중앙로 328, 313호 (금촌동)",10930,"약국,오늘",180098.61875377,473607.958369303
1601,동물약국,031-377-4862,경기도 오산시 금암동 516-6번지,"경기도 오산시 수청로 189 (금암동, 웅신아트 107호)",18109,세교온누리 약국,204004.333509624,408331.949848515
1602,동물약국,031-947-1577,경기도 파주시 와동동 1365-3번지,경기도 파주시 와석순환로 431 (와동동),10894,파주 동물약국,178167.449980153,469050.729234144
1603,동물약국,031-667-0116,경기도 평택시 합정동 672-2번지,"경기도 평택시 중앙로 96, 스카이 빌딩 1층 101호 (합정동)",17909,봄봄온누리약국,208269.174524989,387982.009689342
1604,동물약국,031-666-3002,경기도 평택시 서정동 817번지,경기도 평택시 관광특구로 25 (서정동),17774,오약국,205428.831683999,396160.379195169
1605,동물약국,031-666-7289,경기도 평택시 지산동 763-1번지,경기도 평택시 탄현로 322 (지산동),17757,녹십자약국,204905.089903782,397703.202561467
1606,동물약국,031-668-8140,경기도 평택시 지산동 753-6번지,경기도 평택시 탄현로336번길 10 (지산동),17757,아침동물약국,204986.867537071,397770.833723054
1607,동물약국,031-665-3921,경기도 평택시 지산동 1075번지,경기도 평택시 지산로 60 (지산동),17763,새시장약국,205412.578069752,397540.669315065
1608,동물약국,031-666-2577,경기도 평택시 지산동 1076번지,경기도 평택시 지산로 62 (지산동),17763,유미약국,205429.71946034,397547.406930108
1609,동물약국,031-957-7582,경기도 파주시 금촌동 988-8번지 109호,"경기도 파주시 새꽃로 27, 109호 (금촌동, 금촌크리닉센터)",10915,나은약국,179514.147452588,472240.187407436
1610,동물약국,031-373-1729,경기도 오산시 오산동 881-16번지,"경기도 오산시 오산로 209, 101호 (오산동)",18137,보광 온누리약국,205987.218713327,404846.66220879
1611,동물약국,031-377-6161,경기도 오산시 원동 333-18번지,경기도 오산시 경기대로 189 (원동),18143,우리가족건강 온누리약국,206418.291335707,404442.922252794
1612,동물약국,031-376-2789,경기도 오산시 원동 762-11번지,경기도 오산시 대원로 10 (원동),18141,행복약국,206101.342059073,404934.030128011
1613,동물약국,031-378-1646,,경기도 오산시 궐리사로 37 (궐동),18121,명문약국,204964.630802132,406508.241714988
1614,동물약국,031-373-7780,경기도 오산시 오산동 845-9번지,경기도 오산시 성호새싹길 33 (오산동),18136,시장약국,206157.386363999,405570.160437394
1615,동물약국,03180507182,경기도 오산시 양산동 669-5번지,"경기도 오산시 양산로410번길 12, 104호 (양산동, 엠스퀘어)",18105,예일약국,202614.544336001,410383.918556955
1616,동물약국,031-378-3004,경기도 오산시 원동 372-1번지,"경기도 오산시 경기대로 174, 106호 (원동, 다모아프라자)",18144,메디슨 약국,206486.944071823,404277.57394721
1617,동물약국,070-8810-5452,경기도 평택시 서정동 876-8번지,경기도 평택시 점촌로19번길 59 (서정동),17777,푸른약국,204933.716731204,396035.348696613
1618,동물약국,031-945-8538,경기도 파주시 문발동 561-1번지,경기도 파주시 숲속노을로 275 (문발동),10884,대한온누리약국,174437.820546211,469214.481570197
1619,동물약국,835-2576,경기도 연천군 연천읍 상리,경기도 연천군 연천읍 신망로 2,11009,유약국부설상리동물약병원,206854.082453592,514518.494286646
1620,동물약국,,경기도 용인시 처인구 유방동 328-2번지,"경기도 용인시 처인구 백옥대로 1374, 3층 306호 (유방동, 유림해피랜드)",17041,스마트셀약국,218817.991356667,417353.425610258
1621,동물약국,,경기도 용인시 처인구 김량장동 60-4번지,경기도 용인시 처인구 백옥대로 1112 (김량장동),17051,한빛약국,218500.445961072,414791.770296376
1622,동물약국,031-339-0424,경기도 용인시 처인구 김량장동 17-1번지,경기도 용인시 처인구 백옥대로1068번길 9 (김량장동),17063,정문약국,218665.786961546,414392.504721488
1623,동물약국,031-333-3361,경기도 용인시 처인구 김량장동 408-2번지 한솔빌딩 104호,"경기도 용인시 처인구 중부대로 1360, 1층 4호 (김량장동)",17061,용인자매약국,217279.334851184,414722.795801001
1624,동물약국,,경기도 용인시 처인구 역북동 752번지 연세프라자 104호,"경기도 용인시 처인구 명지로40번길 13, 연세프라자 104호 (역북동)",17056,꿈빛온누리약국,216517.060264108,414507.317996917
1625,동물약국,031-339-8569,경기도 용인시 처인구 양지면 양지리 592-2번지,"경기도 용인시 처인구 양지면 양지로 143, 1층",17158,양지현대약국,225144.218224951,414792.097269365
1626,동물약국,031-681-0641,경기도 평택시 포승읍 내기리 1-7번지,경기도 평택시 포승읍 서동대로 1124,17965,하나약국,189236.930460501,386570.858904162
1627,동물약국,031-683-8868,,"경기도 평택시 포승읍 여술로 21, 101호 (선구빌딩)",17955,햇빛약국,186135.692188133,387419.359708531
1628,동물약국,031-684-2024,"경기도 평택시 포승읍 도곡리 1122-1번지 포승스타타워 107,108",경기도 평택시 포승읍 여술로 20,17955,평택포승 동물약국,186108.315268146,387352.426325072
1629,동물약국,070-4176-8751,경기도 평택시 서정동 308-9번지,경기도 평택시 서정역로 50 (서정동),17779,청북솔약국,204831.342408405,395189.279838513
1630,동물약국,031-657-8383,경기도 평택시 비전동 830-7번지,경기도 평택시 경기대로 267 (비전동),17885,평택종합약국,209991.512782956,388102.542257928
1631,동물약국,0507-1401-1774,경기도 평택시 비전동 1012-3번지 폴리프라자,경기도 평택시 평남로 937 (비전동),17852,비전약국,209226.723842991,389199.715652769
1632,동물약국,031-692-1236,경기도 평택시 비전동 1096번지,경기도 평택시 비전4로 47 (비전동),17854,소사벌 온누리 약국,210129.033166995,388987.006631937
1633,동물약국,031-651-9166,경기도 평택시 비전동 1097-1,경기도 평택시 비전5로 37 (비전동),17854,비전미소약국,210139.748022166,388891.177114226
1634,동물약국,031-423-7963,경기도 안양시 동안구 관양동 1502-6번지,"경기도 안양시 동안구 흥안대로 519, 304호 (관양동, 아이퍼스트타워)",13951,혜준온누리약국,197818.111875523,433137.578437473
1635,동물약국,031-387-7718,경기도 안양시 동안구 관양동 1397-8번지 서운상가 101호,경기도 안양시 동안구 관평로 327 (관양동),13936,정오약국,196158.905587729,433712.524343822
1636,동물약국,031-381-8284,경기도 안양시 동안구 호계동 1058-7번지 아카데미센타 101호,경기도 안양시 동안구 평촌대로 131 (호계동),14099,웰빙프라자약국,196320.955,431291.045
1637,동물약국,031-465-0111,경기도 안양시 만안구 박달동 74-10번지,경기도 안양시 만안구 박달로 531 (박달동),13987,늘봄약국,,
1638,동물약국,031-468-1488,경기도 안양시 만안구 박달동 68-16번지,경기도 안양시 만안구 박달로 518 (박달동),14009,일약국,,
1639,동물약국,031-454-9819,경기도 안양시 동안구 호계동 986-26번지,경기도 안양시 동안구 경수대로570번길 9 (호계동),14109,인진약국,196226.488245697,430212.502501821
1640,동물약국,031-453-8253,경기도 안양시 동안구 호계동 859-45번지,경기도 안양시 동안구 포도원로 27 (호계동),14128,정수약국,196815.959718023,428905.876124647
1641,동물약국,031-382-5219,경기도 안양시 동안구 평촌동 133-12번지 강윤빌딩 103호,"경기도 안양시 동안구 흥안대로 396, 103호 (평촌동, 강윤빌딩)",14064,태경약국,197605.268466759,431943.167433641
1642,동물약국,031-383-7942,경기도 안양시 동안구 호계동 1048-2번지,경기도 안양시 동안구 평촌대로211번길 16 (호계동),14072,소망약국,195947.84626811,432032.643605683
1643,동물약국,031-443-1053,경기도 안양시 만안구 안양동 825-1번지,경기도 안양시 만안구 박달로545번길 46 (안양동),13988,삼원약국,192251.990902817,433629.552628899
1644,동물약국,031-474-1077,경기도 안양시 만안구 석수동 182-2번지 대림아파트상가 107호,"경기도 안양시 만안구 경수대로 1193, 107호 (석수동, 대림아파트상가)",13961,삼아약국,,
1645,동물약국,031-447-0134,경기도 안양시 만안구 안양동 695-208번지,경기도 안양시 만안구 안양로 339 (안양동),14006,오렌지약국,192707.999953376,433290.000639563
1646,동물약국,031-611-4048,경기도 평택시 서정동 782-7번지 신광빌딩,"경기도 평택시 서정북로 79, 신광빌딩 (서정동)",17766,하나약국,205106.804282669,396591.810586068
1647,동물약국,031-651-9631,경기도 평택시 지제동 50번지 이마트내,"경기도 평택시 영신로 29, 이마트 (지제동)",17840,마트종로약국,206675.071220529,391060.040415712
1648,동물약국,031-421-8777,경기도 안양시 동안구 평촌동 138-1번지 서울안과빌딩 101호,"경기도 안양시 동안구 흥안대로 378, 101호 (평촌동, 서울안과빌딩)",14064,한소망약국,197569.794061641,431783.573829505
1649,동물약국,031-833-3578,경기도 연천군 청산면 궁평리 474-2번지,경기도 연천군 청산면 궁평로 42,11020,메디팜원무약국,209439.135262988,502677.228219041
1650,동물약국,,경기도 안양시 만안구 안양동 856-4번지 1층,"경기도 안양시 만안구 안양로 408, 1층 (안양동)",13989,100세건강약국,192390.563567837,433900.80149012
1651,동물약국,,경기도 안양시 만안구 박달동 19-4번지,"경기도 안양시 만안구 양화로 112, 101호 (박달동, 상민빌딩)",13987,365박달온누리약국,,
1652,동물약국,070-4144-8768,경기도 안양시 만안구 안양동 154-1번지 링크오상가 102호,"경기도 안양시 만안구 태평로52번길 37, 102호 (안양동, 링크오상가)",14037,새싹약국,,
1653,동물약국,031-383-9961,경기도 안양시 동안구 비산동 1059번지 키즈맘센터 A-117호,"경기도 안양시 동안구 관악대로 272, A-117호 (비산동, 비산동키즈맘센터)",13944,뉴키즈맘약국,195768.441345668,433306.804031828
1654,동물약국,031-456-1191,경기도 안양시 동안구 호계동 926번지 흥화아파트상가,경기도 안양시 동안구 귀인로 112 (호계동),14081,오행당약국,195677.568310887,431143.4450126
1655,동물약국,031-384-2890,경기도 안양시 동안구 호계동 1041-3번지 명성빌딩,경기도 안양시 동안구 평촌대로227번길 50 (호계동),14072,평촌태평양약국,195734.49060934,432105.254094792
1656,동물약국,031-454-6872,경기도 안양시 동안구 호계동 943번지,경기도 안양시 동안구 경수대로609번길 9 (호계동),14114,기원약국,,
1657,동물약국,031-453-5454,경기도 안양시 동안구 호계동 996번지,경기도 안양시 동안구 경수대로 556 (호계동),14112,대학당약국,196217.804654133,430021.179317209
1658,동물약국,,경기도 용인시 처인구 김량장동 254-369번지,경기도 용인시 처인구 금령로71번길 16 (김량장동),17052,그랜드 동물약국,218022.905842393,414930.639595536
1659,동물약국,,경기도 용인시 처인구 삼가동 250-39 인앤인프라자,"경기도 용인시 처인구 중부대로 1154, 인앤인프라자 (삼가동)",17091,큰길약국,215313.406142728,415270.804300624
1660,동물약국,031-333-0362,경기도 용인시 처인구 김량장동 294-16 103호,"경기도 용인시 처인구 금령로 21, 103호 (김량장동, 메디타워)",17050,메디약국,217557.347661032,414809.940462829
1661,동물약국,031-332-8741,경기도 용인시 처인구 포곡읍 삼계리 465-7,경기도 용인시 처인구 포곡읍 포곡로 289,17028,새양지약국,220545.331489093,419849.978671853
1662,동물약국,031-772-6022,,경기도 양평군 양서면 양수로 147-1,12585,양평동물약국,228181.140394099,449138.061908882
1663,동물약국,031-773-5960,,경기도 양평군 개군면 하자포길 33 (개군우체국),12568,개군약국,247523.02397525,436131.990610432
1664,동물약국,333-4300,경기도 용인시 처인구 이동면 천리 237-17번지,,,천리약국,,
1665,동물약국,031-466-2440,경기도 안양시 만안구 안양동 847-20번지,경기도 안양시 만안구 안양로 364 (안양동),13991,청원약국,192632.85440084,433531.759841319
1666,동물약국,031-773-8998,,경기도 양평군 양평읍 시민로 10 (동아빌딩),12562,양평시장약국,243542.694613054,443115.913119887
1667,동물약국,0312760050,경기도 용인시 수지구 풍덕천동 664번지 삼익상가 107호,"경기도 용인시 수지구 문인로 59, 107호 (풍덕천동, 동아.삼익.풍림아파트)",16830,베델약국,208465.708194437,425532.414218227
1668,동물약국,031-651-7233,경기도 평택시 합정동 866-6,경기도 평택시 중앙로 298 (합정동),17874,태평양약국,210227.266333658,387656.42272503
1669,동물약국,031-655-2253,경기도 평택시 합정동 763번지,경기도 평택시 중앙로 162 (합정동),17905,구세약국,208922.33032818,387818.78649916
1670,동물약국,031-684-8181,경기도 평택시 안중읍 현화리 836-3,"경기도 평택시 안중읍 안현로서8길 23, 동흥빌딩 1층",17943,수약국,193053.823132447,386389.205638032
1671,동물약국,031-351-1780,경기도 평택시 서정동 818-35 롯데시네마빌딩 307호,경기도 평택시 관광특구로 19 (서정동),17774,명성약국,205335.097826367,396170.141027157
1672,동물약국,031-388-5900,경기도 안양시 동안구 비산동 1026-14번지,경기도 안양시 동안구 평촌대로 371 (비산동),13919,피영약국,195415.901957117,433524.965016234
1673,동물약국,031-348-9788,경기도 안양시 동안구 호계동 926-12번지,경기도 안양시 동안구 경수대로 673 (호계동),14081,동안약국,195726.194014004,431109.083068348
1674,동물약국,031-445-2373,경기도 안양시 만안구 안양동 847-16번지,경기도 안양시 만안구 안양로 366 (안양동),13991,수정약국,192621.4554196,433549.001386192
1675,동물약국,031-469-7578,경기도 안양시 동안구 비산동 554-2번지 대림타워 101호,"경기도 안양시 동안구 관악대로 91, 101호 (비산동, 대림타워)",13925,백화점약국,,
1676,동물약국,031-452-7030,경기도 안양시 동안구 호계동 813번지 호계e-편한세상(아)상가 A동 106호,"경기도 안양시 동안구 경수대로 430, A동 106호 (호계동, 호계e-편한세상(아))",14126,편한약국,196600.354192025,429085.305995875
1677,동물약국,031-386-0491,경기도 안양시 동안구 호계동 1045번지,경기도 안양시 동안구 동안로 128 (호계동),14072,우리온누리약국,195657.121538249,432032.278053055
1678,동물약국,,경기도 양평군 양평읍 양근리 376-4번지,경기도 양평군 양평읍 역전길 24,12556,오성약국,243359.011534001,443447.810935606
1679,동물약국,0321-771-5177,경기도 양평군 양서면 용담리 245-4번지,경기도 양평군 양서면 목왕로 55-1,12584,두물머리 약국,228943.168021036,449251.850293565
1680,동물약국,070-7581-0380,경기도 양평군 양평읍 공흥리 468-33번지,"경기도 양평군 양평읍 남북로 76, 롯데마트",12560,양평사랑온누리약국,244381.267486222,443145.649076961
1681,동물약국,031-376-8570,경기도 오산시 금암동 502-4번지,경기도 오산시 수목원로 458 (금암동),18108,세교중앙약국,204417.017577735,408100.981000079
1682,동물약국,031-378-6669,경기도 오산시 오산동 880-20번지,경기도 오산시 대원로 3 (오산동),18138,명약국,206046.749833676,404978.454974434
1683,동물약국,031-372-5520,경기도 오산시 오산동 867-6번지 오산중앙약국,경기도 오산시 성호대로 113 (오산동),18134,오산중앙약국,206500.085527598,405244.035102158
1684,동물약국,031-377-8522,경기도 오산시 오산동 880-2번지,경기도 오산시 오산로 224-1 (오산동),18138,바른약국,206037.35503933,405021.016239828
1685,동물약국,031-377-7030,경기도 오산시 오산동 872-14번지,경기도 오산시 성호대로 75 (오산동),18136,참사랑약국,206109.155544886,405264.136163801
1686,동물약국,,,경기도 양평군 청운면  1,476-863,용두리 중앙 동물약국,,
1687,동물약국,,경기도 양평군 양서면 양수리,경기도 양평군 양서면 양수로 153,12585,양수 하나로 약국,228139.038897905,449165.776779228
1688,동물약국,031-775-4412,경기도 양평군 단월면 보룡리 341-3번지,경기도 양평군 단월면 보룡길 59,12529,단월약국,259469.557501985,448726.780356379
1689,동물약국,031-772-4571,경기도 양평군 용문면 다문리 319-3번지,경기도 양평군 용문면 용문로 386,12523,소망약국,252640.484256954,442810.280180716
1690,동물약국,771-0403,경기도 양평군 서종면 문호리 761-4번지,경기도 양평군 서종면 북한강로 789,12502,서종약국,230733.24456834,456193.800215453
1691,동물약국,031-771-8722,경기도 양평군 양서면 양수리 559-10번지,경기도 양평군 양서면 양수로 157,12585,양수중앙약국,228098.561775964,449189.442023531
1692,동물약국,247-3863,경상북도 포항시 북구 남빈동 417-16번지,경상북도 포항시 북구 중앙로 261 (남빈동),37737,천우당온누리약국,413060.583335744,284365.667310297
1693,동물약국,053-802-0857,경상북도 경산시 압량읍 신대리 426,경상북도 경산시 압량읍 압독3로 21,38536,신대온누리약국,359328.847947653,261597.623366492
1694,동물약국,0220395077,서울특별시 중랑구 중화동 324-148번지 양우빌딩,"서울특별시 중랑구 중랑천로 105, 양우빌딩 (중화동)",02114,에이스약국,206292.997292632,454691.995626041
1695,동물약국,032-422-1117,인천광역시 미추홀구 주안동 1561-22번지,"인천광역시 미추홀구 인주대로 489, 1층 (주안동)",22147,인천주안동물약국,172593.342821308,438799.026231301
1696,동물약국,031-496-9736,경기도 시흥시 정왕동 2166-4번지 홈플러스시화점,"경기도 시흥시 희망공원로 269, 홈플러스시화점 (정왕동)",15081,건강플러스약국,175571.408649221,427063.061719326
1697,동물약국,053-255-7839,대구광역시 중구 동산동 58-2번지,대구광역시 중구 국채보상로 476 (동산동),41931,나사렛약국,342868.003157111,264506.717804135
1698,동물약국,02-427-5757,서울특별시 강동구 명일동 47-19,"서울특별시 강동구 동남로 889, 102호 (명일동)",05269,강동동물약국,213709.394875444,450099.146541993
1699,동물약국,031-557-0707,경기도 남양주시 다산동 6217-6번지 다산지금지구 근생7-6,"경기도 남양주시 다산지금로 142, 다산지금지구 근생7-6 105호 (다산동)",12284,지금행복약국,215247.56185269,455344.253885637
1700,동물약국,051-852-0074,부산광역시 연제구 연산동 581-4번지 월드빌스포츠센터,"부산광역시 연제구 거제천로 258, 월드빌스포츠센터 104호 (연산동)",47518,다나은동물약국,389856.572362715,190029.710668744
1701,동물약국,02)402-0067,서울특별시 송파구 마천동 111-6번지,서울특별시 송파구 거마로 66 (마천동),05755,세계로 약국,212938.847391345,444064.7271367
1702,동물약국,052-272-1112,울산광역시 남구 달동 1367-3,"울산광역시 남구 삼산중로 71, 1층 102호 (달동)",44707,삼산 동물약국,411697.710669785,229191.606560503
1703,동물약국,02-414-1566,서울특별시 송파구 신천동 17번지 파크리오,"서울특별시 송파구 올림픽로 435, a동 5층 511호 (신천동, 파크리오)",05507,누리약국,209314.259995755,446483.316079239
1704,동물약국,,경기도 안성시 공도읍 양기리 306 롯데마트,"경기도 안성시 공도읍 서동대로 4478, 롯데마트 2층",17558,제일약국,217695.637116434,389592.895375219
1705,동물약국,02-383-8869,서울특별시 은평구 역촌동 44-29번지 청암빌딩,"서울특별시 은평구 연서로 12, 청암빌딩 (역촌동)",03409,큰솔약국,192549.184624609,455314.708066234
1706,동물약국,,서울특별시 송파구 석촌동 173-8번지 자재백화점,"서울특별시 송파구 백제고분로 349, 자재백화점 1층 (석촌동)",05615,다정약국,209206.590522133,444711.630583279
1707,동물약국,,서울특별시 송파구 석촌동 173-8번지 자재백화점,"서울특별시 송파구 백제고분로 349, 자재백화점 1층 (석촌동)",05615,다정약국,209206.590522133,444711.630583279
1708,동물약국,6396307,대전광역시 대덕구 법동 287-4번지 원남빌딩,"대전광역시 대덕구 계족로 629, 원남빌딩 1층 (법동)",34384,서한약국,238467.616349886,318610.671515557
1709,동물약국,634-2202,대전광역시 대덕구 비래동 127-8번지,대전광역시 대덕구 비래동로15번길 2 (비래동),34417,동인당약국,240284.625055553,317300.444623624
1710,동물약국,863-2350,대전광역시 대덕구 상서동 830-9번지 (주)동명양행,"대전광역시 대덕구 덕암로136번길 15, (주)동명양행 (상서동)",34334,동명약국,237757.720050511,325815.316914904
1711,동물약국,,대전광역시 대덕구 와동 367-5번지,대전광역시 대덕구 신탄진로218번길 32 (와동),34346,김종삼약국,237986.078160349,322284.566699454
1712,동물약국,,울산광역시 북구 매곡동 226 서희파크,"울산광역시 북구 매곡산업로 175, 서희파크 1층 104호 (매곡동)",44225,빛나온누리약국,413894.561434159,240297.910458831
1713,동물약국,,서울특별시 양천구 신정동 323-7번지 테마프라자 101호,"서울특별시 양천구 목동서로 389, 테마프라자 101호 (신정동)",08093,테마프라자약국,187658.894054739,445962.272968839
1714,동물약국,,울산광역시 동구 동부동 201-122번지,울산광역시 동구 동해안로 28 (동부동),44007,신대흥약국,419999.752641815,229592.478133294
1715,동물약국,055-781-0181,경상남도 양산시 물금읍 가촌리 1291-1번지 플러스존 110호,"경상남도 양산시 물금읍 야리로 127, 플러스존 1층 110호",50653,아이맘약국,382696.055291649,203183.86753971
1716,동물약국,064-901-7378,제주특별자치도 제주시 도남동 60-3번지,"제주특별자치도 제주시 연삼로 305, 1층 (도남동)",63204,해모로약국,155798.196615007,-339.626133353011
1717,동물약국,571-5553,인천광역시 서구 신현동 307-1번지,"인천광역시 서구 새오개로111번안길 31, 101호 (신현동)",22779,새오개약국,170302.802501839,446741.044974633
1718,동물약국,,서울특별시 강남구 논현동 241-7번지 상경빌딩,"서울특별시 강남구 선릉로 669, 상경빌딩 지하1층 (논현동)",06099,올리브약국,203576.203143546,446044.328640692
1719,동물약국,,서울특별시 금천구 독산동 1155 금천롯데캐슬골드파크3차,"서울특별시 금천구 시흥대로 291, 271호 (독산동, 금천롯데캐슬골드파크3차)",08608,튼튼온누리약국,190838.324818618,439761.362000391
1720,동물약국,02-476-1918,서울특별시 강동구 천호동 155-5번지 강동역두산위브센티움,"서울특별시 강동구 성안로 155, 106호 (천호동, 강동역두산위브센티움)",05338,라온약국,211840.954233269,448338.685165927
1721,동물약국,,서울특별시 송파구 문정동 643-1번지 엠스테이트,"서울특별시 송파구 법원로 114, 엠스테이트 C동 2층 218호 (문정동)",05854,문정우리들 약국,,
1722,동물약국,064-787-0060,제주특별자치도 서귀포시 표선면 표선리 697-1번지 한사랑약국,"제주특별자치도 서귀포시 표선면 표선중앙로80번길 1, 한사랑약국",63629,표선 한사랑 약국,184324.389675416,-18886.7262385796
1723,동물약국,032-752-1017,인천광역시 중구 중산동 1884-1번지 이은스퀘어 125호,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 125호 (중산동)",22397,썬약국,161087.735936613,443105.582605416
1724,동물약국,02-6747-5835,경기도 광명시 하안동 34-8번지,"경기도 광명시 범안로 1045, 제일프라자빌딩 102호 (하안동)",14248,하나약국,189212.249511153,440036.105210279
1725,동물약국,02-899-1985,경기도 광명시 소하동 913-5번지,경기도 광명시 오리로 381 (소하동),14333,신소하약국,189248.952896706,437153.368338378
1726,동물약국,,서울특별시 서초구 우면동 679번지 (주)삼성전자 서울R&D캠퍼스,"서울특별시 서초구 성촌길 34, (주)삼성전자 서울R&D캠퍼스 지하1층 (우면동)",06765,모아약국,202070.429402224,440438.965829416
1727,동물약국,,경기도 광주시 오포읍 신현리 380-6번지,"경기도 광주시 오포읍 신현로 100-3, 1층",12771,샘약국,,
1728,동물약국,,경기도 의정부시 호원동 454-8번지,경기도 의정부시 평화로 229-1 (호원동),11711,행복한약국,204090.674116844,467774.873762835
1729,동물약국,324-5445,서울특별시 마포구 상수동 317-12번지,서울특별시 마포구 독막로 63 (상수동),04049,최국희약국,192908.58655556,449528.071215394
1730,동물약국,02-488-1512,서울특별시 강동구 성내동 548-5 채원자연통합병원빌딩,"서울특별시 강동구 성내로 66, 채원자연통합병원빌딩 (성내동)",05399,강동호원약국,211159.42900767,447276.508702471
1731,동물약국,,서울특별시 은평구 진관동 62 은평스카이뷰자이 129호,"서울특별시 은평구 통일로 1034, 129호 (진관동, 은평스카이뷰자이)",03306,성모자이약국,192690.64005238,459181.703833203
1732,동물약국,041-566-7301,충청남도 천안시 서북구 불당동 1534번지 율곡스퀘어 더 에이스 144호,"충청남도 천안시 서북구 불당25로 176, 율곡스퀘어 더 에이스 144호 (불당동)",31156,청춘약국,209665.080510471,368317.230536408
1733,동물약국,283-0008,전라남도 목포시 옥암동 1028번지 부영아파트,"전라남도 목포시 부흥로 86, 부영아파트 2차 101동 (옥암동)",58687,메디팜현대약국,147906.102194227,145112.465293137
